BOARD_ID,BOARD_NAME,ISSUE_ID,ISSUE_KEY
179,FR2 Planning,10176,CD-151
179,FR2 Planning,10178,CD-153
179,FR2 Planning,10243,CD-215
179,FR2 Planning,11308,CD-1280
179,FR2 Planning,11322,CD-1294
179,FR2 Planning,11664,CD-1497
179,FR2 Planning,10063,CD-38
179,FR2 Planning,10073,CD-48
179,FR2 Planning,10071,CD-46
179,FR2 Planning,10193,CD-168
179,FR2 Planning,11658,CD-1496
179,FR2 Planning,15262,CD-2537
179,FR2 Planning,15263,CD-2538
179,FR2 Planning,14416,CD-1941
179,FR2 Planning,15266,CD-2541
179,FR2 Planning,15310,CD-2574
179,FR2 Planning,15323,CD-2587
179,FR2 Planning,10050,CD-25
179,FR2 Planning,15312,CD-2576
179,FR2 Planning,10204,CD-176
179,FR2 Planning,10206,CD-178
179,FR2 Planning,10205,CD-177
179,FR2 Planning,10207,CD-179
179,FR2 Planning,10208,CD-180
179,FR2 Planning,10209,CD-181
179,FR2 Planning,10210,CD-182
179,FR2 Planning,10211,CD-183
179,FR2 Planning,10217,CD-189
179,FR2 Planning,10221,CD-193
179,FR2 Planning,10262,CD-234
179,FR2 Planning,10263,CD-235
179,FR2 Planning,10264,CD-236
179,FR2 Planning,10266,CD-238
179,FR2 Planning,10267,CD-239
179,FR2 Planning,10270,CD-242
179,FR2 Planning,10271,CD-243
179,FR2 Planning,10274,CD-246
179,FR2 Planning,10275,CD-247
179,FR2 Planning,10277,CD-249
179,FR2 Planning,10278,CD-250
179,FR2 Planning,10279,CD-251
179,FR2 Planning,10287,CD-259
179,FR2 Planning,10288,CD-260
179,FR2 Planning,10295,CD-267
179,FR2 Planning,10296,CD-268
179,FR2 Planning,10297,CD-269
179,FR2 Planning,10298,CD-270
179,FR2 Planning,10299,CD-271
179,FR2 Planning,10300,CD-272
179,FR2 Planning,10301,CD-273
179,FR2 Planning,10302,CD-274
179,FR2 Planning,10315,CD-287
179,FR2 Planning,10343,CD-315
179,FR2 Planning,10345,CD-317
179,FR2 Planning,10358,CD-330
179,FR2 Planning,15303,CD-2567
179,FR2 Planning,15304,CD-2568
179,FR2 Planning,10373,CD-345
179,FR2 Planning,10377,CD-349
179,FR2 Planning,10378,CD-350
179,FR2 Planning,10379,CD-351
179,FR2 Planning,10380,CD-352
179,FR2 Planning,10381,CD-353
179,FR2 Planning,10382,CD-354
179,FR2 Planning,25126,CD-7659
179,FR2 Planning,10385,CD-357
179,FR2 Planning,10386,CD-358
179,FR2 Planning,10393,CD-365
179,FR2 Planning,10402,CD-374
179,FR2 Planning,10404,CD-376
179,FR2 Planning,10405,CD-377
179,FR2 Planning,10427,CD-399
179,FR2 Planning,10428,CD-400
179,FR2 Planning,10429,CD-401
179,FR2 Planning,10430,CD-402
179,FR2 Planning,10432,CD-404
179,FR2 Planning,10433,CD-405
179,FR2 Planning,10441,CD-413
179,FR2 Planning,10443,CD-415
179,FR2 Planning,10448,CD-420
179,FR2 Planning,10467,CD-439
179,FR2 Planning,10470,CD-442
179,FR2 Planning,10474,CD-446
179,FR2 Planning,10476,CD-448
179,FR2 Planning,10477,CD-449
179,FR2 Planning,10479,CD-451
179,FR2 Planning,10480,CD-452
179,FR2 Planning,10481,CD-453
179,FR2 Planning,10485,CD-457
179,FR2 Planning,10493,CD-465
179,FR2 Planning,10501,CD-473
179,FR2 Planning,10502,CD-474
179,FR2 Planning,10516,CD-488
179,FR2 Planning,10519,CD-491
179,FR2 Planning,10525,CD-497
179,FR2 Planning,10527,CD-499
179,FR2 Planning,10528,CD-500
179,FR2 Planning,10531,CD-503
179,FR2 Planning,10536,CD-508
179,FR2 Planning,10539,CD-511
179,FR2 Planning,10541,CD-513
179,FR2 Planning,10542,CD-514
179,FR2 Planning,10556,CD-528
179,FR2 Planning,10557,CD-529
179,FR2 Planning,10558,CD-530
179,FR2 Planning,10560,CD-532
179,FR2 Planning,10564,CD-536
179,FR2 Planning,10567,CD-539
179,FR2 Planning,10568,CD-540
179,FR2 Planning,10571,CD-543
179,FR2 Planning,10572,CD-544
179,FR2 Planning,10577,CD-549
179,FR2 Planning,10578,CD-550
179,FR2 Planning,10603,CD-575
179,FR2 Planning,10604,CD-576
179,FR2 Planning,10611,CD-583
179,FR2 Planning,10612,CD-584
179,FR2 Planning,10613,CD-585
179,FR2 Planning,10638,CD-610
179,FR2 Planning,10639,CD-611
179,FR2 Planning,10643,CD-615
179,FR2 Planning,10649,CD-621
179,FR2 Planning,10652,CD-624
179,FR2 Planning,10653,CD-625
179,FR2 Planning,10656,CD-628
